node,position_mm,crossing_time_ms,active_node
2,60.71950000000034,1.359119225231808,True
3,61.84180000000034,1.3459446279477005,True
4,62.96410000000034,1.3272915654393818,True
5,64.08640000000034,1.3072731245460287,True
6,65.20870000000033,1.2870412960979423,True
7,66.33100000000033,1.2668429287683418,True
8,67.45330000000034,1.2467411210646742,True
9,68.57560000000034,1.2267849035549796,True
10,69.69790000000033,1.2070438902937755,True
11,70.82020000000033,1.1876760927661953,True
12,71.94250000000032,1.1687817484239713,True
13,73.06480000000032,1.1505975856421462,True
14,74.18710000000031,1.1335741237512462,True
15,75.30940000000032,1.1180073431333353,True
16,76.43170000000033,1.1041326232910555,True
17,77.55400000000034,1.0923075186187208,True
18,78.67630000000034,1.0826941997699413,True
19,79.79860000000035,1.0750868115061123,True
20,80.92090000000036,1.0713669214575352,True
21,82.04320000000035,1.072155742198224,True
22,83.16550000000036,1.0791298176010191,True
23,84.28780000000037,1.105887483842714,True
24,85.41010000000038,1.160907692792793,True
25,86.5324000000004,1.204771599557239,True
26,87.65470000000039,1.2382483038656968,True
27,88.7770000000004,1.2663801614447847,True
28,89.89930000000041,1.2906969725968467,True
29,91.02160000000042,1.3097684425086624,True
30,92.1439000000004,1.318891315624947,True
31,93.2662000000004,1.3182839670561617,True
32,94.38850000000038,1.3068798666693149,True
33,95.51080000000037,1.2849091271578938,True
34,96.63310000000035,1.258446822360447,True
35,97.75540000000035,1.2318487640973381,True
36,98.87770000000033,1.208078617971581,True
37,100.00000000000033,1.1871086287262018,True
38,101.12230000000031,1.1670942626178498,True
39,102.2446000000003,1.1462448717525209,True
40,103.36690000000029,1.1230978864395842,True
41,104.48920000000027,1.094827178415158,True
42,105.61150000000026,1.060031978538832,True
43,106.73380000000024,1.035958173055463,True
44,107.85610000000024,1.0235114315079288,True
45,108.97840000000022,1.017948260417176,True
46,110.10070000000022,1.0161630167351596,True
47,111.2230000000002,1.0186963185086857,True
48,112.3453000000002,1.0257288296420055,True
49,113.46760000000017,1.0425568922820048,True
50,114.58990000000017,1.0768774426310104,True
51,115.71220000000015,1.1260571060498317,True
52,116.83450000000015,1.1581256330545981,True
53,117.95680000000013,1.185851439819788,True
54,119.07910000000012,1.2111901263177915,True
55,120.2014000000001,1.2350662569760904,True
56,121.3237000000001,1.258017999339256,True
57,122.44600000000008,1.2803705017959883,True
58,123.56830000000008,1.3022717658271612,True
59,124.69060000000006,1.323816393387028,True
60,125.81290000000003,1.3451462236275586,True
61,126.93520000000001,1.3663166008745045,True
62,128.05749999999998,1.387357021162855,True
63,129.17979999999994,1.4083030938834038,True
64,130.30209999999994,1.4291933389349214,True
65,131.4243999999999,1.450038839003215,True
66,132.54669999999987,1.4708564267718687,True
67,133.66899999999984,1.4916472172510877,True
68,134.7912999999998,1.512408215774484,True
69,135.9135999999998,1.5331076292696109,True
70,137.03589999999977,1.5535221968988115,True
71,138.15819999999974,1.572455396604121,True
72,139.28049999999973,1.5857528237592184,True
