time_ms,node_0_vm_mv,node_1_vm_mv,node_2_vm_mv,node_3_vm_mv,node_4_vm_mv,node_5_vm_mv,node_6_vm_mv,node_7_vm_mv,node_8_vm_mv,node_9_vm_mv,node_10_vm_mv,node_11_vm_mv,node_12_vm_mv,node_13_vm_mv,node_14_vm_mv,node_15_vm_mv,node_16_vm_mv,node_17_vm_mv,node_18_vm_mv,node_19_vm_mv,node_20_vm_mv,node_21_vm_mv,node_22_vm_mv,node_23_vm_mv,node_24_vm_mv,node_25_vm_mv,node_26_vm_mv,node_27_vm_mv,node_28_vm_mv,node_29_vm_mv,node_30_vm_mv,node_31_vm_mv,node_32_vm_mv,node_33_vm_mv,node_34_vm_mv,node_35_vm_mv,node_36_vm_mv,node_37_vm_mv,node_38_vm_mv,node_39_vm_mv,node_40_vm_mv,node_41_vm_mv,node_42_vm_mv,node_43_vm_mv,node_44_vm_mv,node_45_vm_mv,node_46_vm_mv,node_47_vm_mv,node_48_vm_mv,node_49_vm_mv,node_50_vm_mv,node_51_vm_mv,node_52_vm_mv,node_53_vm_mv,node_54_vm_mv,node_55_vm_mv,node_56_vm_mv,node_57_vm_mv,node_58_vm_mv,node_59_vm_mv,node_60_vm_mv,node_61_vm_mv,node_62_vm_mv,node_63_vm_mv,node_64_vm_mv,node_65_vm_mv,node_66_vm_mv,node_67_vm_mv,node_68_vm_mv,node_69_vm_mv,node_70_vm_mv,node_71_vm_mv,node_72_vm_mv,node_73_vm_mv,node_74_vm_mv
0.000000000000000000e+00,-7.999999999967398878e+01,-7.999947337535223824e+01,-7.996450148516970557e+01,-7.996333600644629769e+01,-7.996245245608150753e+01,-7.996178263343176695e+01,-7.996127483720428586e+01,-7.996088987339075516e+01,-7.996059802930325588e+01,-7.996037677982015168e+01,-7.996020904861302370e+01,-7.996008189004581368e+01,-7.995998548995341082e+01,-7.995991240814578305e+01,-7.995985700415556607e+01,-7.995981500189824942e+01,-7.995978315964029548e+01,-7.995975901980054346e+01,-7.995974071927339821e+01,-7.995972684563386679e+01,-7.995971632812620555e+01,-7.995970835502249940e+01,-7.995970231097309977e+01,-7.995969772951340815e+01,-7.995969425706172728e+01,-7.995969162562946053e+01,-7.995968963213738334e+01,-7.995968812274178106e+01,-7.995968698096052663e+01,-7.995968611868288178e+01,-7.995968546936900623e+01,-7.995968498291436788e+01,-7.995968462178258562e+01,-7.995968435810846131e+01,-7.995968417154726637e+01,-7.995968404770454185e+01,-7.995968397702525010e+01,-7.995968395405620299e+01,-7.995968397702525010e+01,-7.995968404770454185e+01,-7.995968417154726637e+01,-7.995968435810846131e+01,-7.995968462178258562e+01,-7.995968498291435367e+01,-7.995968546936900623e+01,-7.995968611868288178e+01,-7.995968698096052663e+01,-7.995968812274178106e+01,-7.995968963213738334e+01,-7.995969162562946053e+01,-7.995969425706172728e+01,-7.995969772951340815e+01,-7.995970231097309977e+01,-7.995970835502249940e+01,-7.995971632812620555e+01,-7.995972684563388100e+01,-7.995974071927339821e+01,-7.995975901980054346e+01,-7.995978315964029548e+01,-7.995981500189824942e+01,-7.995985700415556607e+01,-7.995991240814578305e+01,-7.995998548995341082e+01,-7.996008189004581368e+01,-7.996020904861302370e+01,-7.996037677982015168e+01,-7.996059802930325588e+01,-7.996088987339075516e+01,-7.996127483720428586e+01,-7.996178263343175274e+01,-7.996245245608150753e+01,-7.996333600644629769e+01,-7.996450148516970557e+01,-7.999947337535223824e+01,-7.999999999967398878e+01
1.000000000000000021e-03,-7.999999999967398878e+01,-7.999947337536204373e+01,-7.996450150243209976e+01,-7.996333602485610470e+01,-7.996245247481844842e+01,-7.996178265238518179e+01,-7.996127485632371190e+01,-7.996088989263947155e+01,-7.996059804865299725e+01,-7.996037679924906172e+01,-7.996020906810414886e+01,-7.996008190958600892e+01,-7.995998550953245854e+01,-7.995991242775572516e+01,-7.995985702379017823e+01,-7.995981502155267151e+01,-7.995978317931067636e+01,-7.995975903948387042e+01,-7.995974073896725542e+01,-7.995972686533632157e+01,-7.995971634783572313e+01,-7.995970837473784343e+01,-7.995970233069326127e+01,-7.995969774923754869e+01,-7.995969427678917896e+01,-7.995969164535966911e+01,-7.995968965186987987e+01,-7.995968814247618184e+01,-7.995968700069650481e+01,-7.995968613842015316e+01,-7.995968548910735763e+01,-7.995968500265358614e+01,-7.995968464152250021e+01,-7.995968437784891591e+01,-7.995968419128811888e+01,-7.995968406744567858e+01,-7.995968399676655736e+01,-7.995968397379756709e+01,-7.995968399676655736e+01,-7.995968406744567858e+01,-7.995968419128811888e+01,-7.995968437784891591e+01,-7.995968464152250021e+01,-7.995968500265357193e+01,-7.995968548910735763e+01,-7.995968613842015316e+01,-7.995968700069650481e+01,-7.995968814247618184e+01,-7.995968965186987987e+01,-7.995969164535966911e+01,-7.995969427678917896e+01,-7.995969774923754869e+01,-7.995970233069326127e+01,-7.995970837473784343e+01,-7.995971634783572313e+01,-7.995972686533633578e+01,-7.995974073896725542e+01,-7.995975903948387042e+01,-7.995978317931067636e+01,-7.995981502155267151e+01,-7.995985702379017823e+01,-7.995991242775572516e+01,-7.995998550953245854e+01,-7.996008190958600892e+01,-7.996020906810414886e+01,-7.996037679924906172e+01,-7.996059804865299725e+01,-7.996088989263945734e+01,-7.996127485632371190e+01,-7.996178265238518179e+01,-7.996245247481844842e+01,-7.996333602485610470e+01,-7.996450150243209976e+01,-7.999947337536204373e+01,-7.999999999967398878e+01
2.000000000000000042e-03,-7.999999999967398878e+01,-7.999947337537186343e+01,-7.996450151630853043e+01,-7.996333604033058862e+01,-7.996245249067507643e+01,-7.996178266843800486e+01,-7.996127487251965249e+01,-7.996088990894622839e+01,-7.996059806504634082e+01,-7.996037681571026212e+01,-7.996020908461871102e+01,-7.996008192614266363e+01,-7.995998552612245192e+01,-7.995991244437222178e+01,-7.995985704042786324e+01,-7.995981503820735270e+01,-7.995978319597905681e+01,-7.995975905616334956e+01,-7.995974075565577266e+01,-7.995972688203222845e+01,-7.995971636453769804e+01,-7.995970839144480635e+01,-7.995970234740434535e+01,-7.995969776595205758e+01,-7.995969429350653002e+01,-7.995969166207936496e+01,-7.995968966859155103e+01,-7.995968815919947303e+01,-7.995968701742114604e+01,-7.995968615514591704e+01,-7.995968550583403101e+01,-7.995968501938101269e+01,-7.995968465825052363e+01,-7.995968439457739407e+01,-7.995968420801695231e+01,-7.995968408417475359e+01,-7.995968401349577448e+01,-7.995968399052682685e+01,-7.995968401349576027e+01,-7.995968408417475359e+01,-7.995968420801695231e+01,-7.995968439457739407e+01,-7.995968465825050941e+01,-7.995968501938099848e+01,-7.995968550583403101e+01,-7.995968615514591704e+01,-7.995968701742114604e+01,-7.995968815919947303e+01,-7.995968966859155103e+01,-7.995969166207936496e+01,-7.995969429350653002e+01,-7.995969776595205758e+01,-7.995970234740434535e+01,-7.995970839144480635e+01,-7.995971636453769804e+01,-7.995972688203224266e+01,-7.995974075565577266e+01,-7.995975905616334956e+01,-7.995978319597905681e+01,-7.995981503820735270e+01,-7.995985704042786324e+01,-7.995991244437222178e+01,-7.995998552612245192e+01,-7.996008192614266363e+01,-7.996020908461871102e+01,-7.996037681571026212e+01,-7.996059806504634082e+01,-7.996088990894622839e+01,-7.996127487251965249e+01,-7.996178266843800486e+01,-7.996245249067507643e+01,-7.996333604033058862e+01,-7.996450151630853043e+01,-7.999947337537186343e+01,-7.999999999967398878e+01
3.000000000000000062e-03,-7.999999999967398878e+01,-7.999947337538169734e+01,-7.996450152855192073e+01,-7.996333605427184921e+01,-7.996245250507718083e+01,-7.996178268303867753e+01,-7.996127488725409194e+01,-7.996088992378273019e+01,-7.996059807996243762e+01,-7.996037683068874458e+01,-7.996020909964624934e+01,-7.996008194120891233e+01,-7.995998554121935342e+01,-7.995991245949350912e+01,-7.995985705556861944e+01,-7.995981505336374084e+01,-7.995978321114804999e+01,-7.995975907134254612e+01,-7.995974077084328258e+01,-7.995972689722653115e+01,-7.995971637973755719e+01,-7.995970840664925561e+01,-7.995970236261258890e+01,-7.995969778116344173e+01,-7.995969430872051475e+01,-7.995969167729550975e+01,-7.995968968380950059e+01,-7.995968817441891474e+01,-7.995968703264183830e+01,-7.995968617036761827e+01,-7.995968552105658489e+01,-7.995968503460423449e+01,-7.995968467347429964e+01,-7.995968440980159642e+01,-7.995968422324146729e+01,-7.995968409939949595e+01,-7.995968402872064473e+01,-7.995968400575172552e+01,-7.995968402872063052e+01,-7.995968409939949595e+01,-7.995968422324146729e+01,-7.995968440980159642e+01,-7.995968467347428543e+01,-7.995968503460422028e+01,-7.995968552105657068e+01,-7.995968617036763249e+01,-7.995968703264182409e+01,-7.995968817441891474e+01,-7.995968968380950059e+01,-7.995969167729550975e+01,-7.995969430872051475e+01,-7.995969778116344173e+01,-7.995970236261258890e+01,-7.995970840664925561e+01,-7.995971637973755719e+01,-7.995972689722653115e+01,-7.995974077084328258e+01,-7.995975907134254612e+01,-7.995978321114804999e+01,-7.995981505336374084e+01,-7.995985705556861944e+01,-7.995991245949350912e+01,-7.995998554121935342e+01,-7.996008194120891233e+01,-7.996020909964624934e+01,-7.996037683068874458e+01,-7.996059807996243762e+01,-7.996088992378273019e+01,-7.996127488725409194e+01,-7.996178268303867753e+01,-7.996245250507718083e+01,-7.996333605427184921e+01,-7.996450152855192073e+01,-7.999947337538169734e+01,-7.999999999967398878e+01
4.000000000000000083e-03,-7.999999999967398878e+01,-7.999947337539154546e+01,-7.996450153970394581e+01,-7.996333606703214514e+01,-7.996245251836050727e+01,-7.996178269653073301e+01,-7.996127490087478407e+01,-7.996088993749920348e+01,-7.996059809375326211e+01,-7.996037684453781935e+01,-7.996020911354112570e+01,-7.996008195513992689e+01,-7.995998555517900286e+01,-7.995991247347592434e+01,-7.995985706956922456e+01,-7.995981506737894051e+01,-7.995978322517501624e+01,-7.995975908537904786e+01,-7.995974078488752923e+01,-7.995972691127711585e+01,-7.995971639379334306e+01,-7.995970842070931894e+01,-7.995970237667619074e+01,-7.995969779522997101e+01,-7.995969432278947409e+01,-7.995969169136648702e+01,-7.995968969788215475e+01,-7.995968818849296156e+01,-7.995968704671703620e+01,-7.995968618444376830e+01,-7.995968553513351651e+01,-7.995968504868180560e+01,-7.995968468755236813e+01,-7.995968442388006281e+01,-7.995968423732023211e+01,-7.995968411347847393e+01,-7.995968404279973640e+01,-7.995968401983085982e+01,-7.995968404279972219e+01,-7.995968411347847393e+01,-7.995968423732023211e+01,-7.995968442388006281e+01,-7.995968468755236813e+01,-7.995968504868179139e+01,-7.995968553513350230e+01,-7.995968618444378251e+01,-7.995968704671702199e+01,-7.995968818849296156e+01,-7.995968969788215475e+01,-7.995969169136648702e+01,-7.995969432278947409e+01,-7.995969779522997101e+01,-7.995970237667619074e+01,-7.995970842070931894e+01,-7.995971639379334306e+01,-7.995972691127711585e+01,-7.995974078488752923e+01,-7.995975908537904786e+01,-7.995978322517501624e+01,-7.995981506737894051e+01,-7.995985706956922456e+01,-7.995991247347592434e+01,-7.995998555517900286e+01,-7.996008195513992689e+01,-7.996020911354112570e+01,-7.996037684453781935e+01,-7.996059809375326211e+01,-7.996088993749920348e+01,-7.996127490087478407e+01,-7.996178269653073301e+01,-7.996245251836050727e+01,-7.996333606703214514e+01,-7.996450153970394581e+01,-7.999947337539154546e+01,-7.999999999967398878e+01
5.000000000000000971e-03,-7.999999999967398878e+01,-7.999947337540140779e+01,-7.996450154999702420e+01,-7.996333607878021610e+01,-7.996245253066798853e+01,-7.996178270905940622e+01,-7.996127491352942229e+01,-7.996088995024450696e+01,-7.996059810656844036e+01,-7.996037685740766676e+01,-7.996020912645394674e+01,-7.996008196808666924e+01,-7.995998556815261793e+01,-7.995991248647091254e+01,-7.995985708258128000e+01,-7.995981508040468100e+01,-7.995978323821179856e+01,-7.995975909842476881e+01,-7.995974079794052614e+01,-7.995972692433605289e+01,-7.995971640685715442e+01,-7.995970843377715198e+01,-7.995970238974732069e+01,-7.995969780830384366e+01,-7.995969433586563468e+01,-7.995969170444453766e+01,-7.995968971096176858e+01,-7.995968820157388279e+01,-7.995968705979903746e+01,-7.995968619752666484e+01,-7.995968554821713781e+01,-7.995968506176602375e+01,-7.995968470063706945e+01,-7.995968443696513361e+01,-7.995968425040557293e+01,-7.995968412656401370e+01,-7.995968405588537564e+01,-7.995968403291654170e+01,-7.995968405588537564e+01,-7.995968412656401370e+01,-7.995968425040557293e+01,-7.995968443696513361e+01,-7.995968470063705524e+01,-7.995968506176600954e+01,-7.995968554821713781e+01,-7.995968619752667905e+01,-7.995968705979902325e+01,-7.995968820157388279e+01,-7.995968971096176858e+01,-7.995969170444453766e+01,-7.995969433586563468e+01,-7.995969780830384366e+01,-7.995970238974732069e+01,-7.995970843377715198e+01,-7.995971640685715442e+01,-7.995972692433605289e+01,-7.995974079794052614e+01,-7.995975909842476881e+01,-7.995978323821179856e+01,-7.995981508040468100e+01,-7.995985708258128000e+01,-7.995991248647091254e+01,-7.995998556815261793e+01,-7.996008196808666924e+01,-7.996020912645394674e+01,-7.996037685740766676e+01,-7.996059810656844036e+01,-7.996088995024450696e+01,-7.996127491352942229e+01,-7.996178270905940622e+01,-7.996245253066798853e+01,-7.996333607878021610e+01,-7.996450154999702420e+01,-7.999947337540140779e+01,-7.999999999967398878e+01
6.000000000000001860e-03,-7.999999999967398878e+01,-7.999947337541128434e+01,-7.996450155956101469e+01,-7.996333608964106077e+01,-7.996245254210158748e+01,-7.996178272072587845e+01,-7.996127492532087899e+01,-7.996088996212249356e+01,-7.996059811851236532e+01,-7.996037686940304923e+01,-7.996020913848977330e+01,-7.996008198015442758e+01,-7.995998558024565739e+01,-7.995991249858406036e+01,-7.995985709471050029e+01,-7.995981509254679054e+01,-7.995978325036431045e+01,-7.995975911058567931e+01,-7.995974081010828627e+01,-7.995972693650939789e+01,-7.995971641903508953e+01,-7.995970844595885296e+01,-7.995970240193213385e+01,-7.995969782049124319e+01,-7.995969434805516585e+01,-7.995969171663584518e+01,-7.995968972315455403e+01,-7.995968821376789037e+01,-7.995968707199405401e+01,-7.995968620972253404e+01,-7.995968556041368913e+01,-7.995968507396312930e+01,-7.995968471283461554e+01,-7.995968444916303497e+01,-7.995968426260373008e+01,-7.995968413876235559e+01,-7.995968406808381701e+01,-7.995968404511502570e+01,-7.995968406808381701e+01,-7.995968413876234138e+01,-7.995968426260373008e+01,-7.995968444916303497e+01,-7.995968471283461554e+01,-7.995968507396311509e+01,-7.995968556041368913e+01,-7.995968620972253404e+01,-7.995968707199405401e+01,-7.995968821376789037e+01,-7.995968972315455403e+01,-7.995969171663584518e+01,-7.995969434805516585e+01,-7.995969782049124319e+01,-7.995970240193213385e+01,-7.995970844595885296e+01,-7.995971641903508953e+01,-7.995972693650939789e+01,-7.995974081010828627e+01,-7.995975911058567931e+01,-7.995978325036431045e+01,-7.995981509254679054e+01,-7.995985709471050029e+01,-7.995991249858406036e+01,-7.995998558024565739e+01,-7.996008198015442758e+01,-7.996020913848977330e+01,-7.996037686940304923e+01,-7.996059811851236532e+01,-7.996088996212249356e+01,-7.996127492532087899e+01,-7.996178272072587845e+01,-7.996245254210158748e+01,-7.996333608964106077e+01,-7.996450155956101469e+01,-7.999947337541128434e+01,-7.999999999967398878e+01
7.000000000000002748e-03,-7.999999999967398878e+01,-7.999947337542116088e+01,-7.996450156848486301e+01,-7.996333609971979683e+01,-7.996245255274953934e+01,-7.996178273161596906e+01,-7.996127493633608196e+01,-7.996088997322092951e+01,-7.996059812967328639e+01,-7.996037688061255722e+01,-7.996020914973745164e+01,-7.996008199143221873e+01,-7.995998559154730856e+01,-7.995991250990469723e+01,-7.995985710604630015e+01,-7.995981510389475488e+01,-7.995978326172206607e+01,-7.995975912195137880e+01,-7.995974082148043749e+01,-7.995972694788682134e+01,-7.995971643041683308e+01,-7.995970845734416343e+01,-7.995970241332037176e+01,-7.995969783188191116e+01,-7.995969435944785175e+01,-7.995969172803020797e+01,-7.995968973455029527e+01,-7.995968822516479690e+01,-7.995968708339191267e+01,-7.995968622112117430e+01,-7.995968557181298308e+01,-7.995968508536294905e+01,-7.995968472423484741e+01,-7.995968446056359369e+01,-7.995968427400454459e+01,-7.995968415016332642e+01,-7.995968407948490153e+01,-7.995968405651613864e+01,-7.995968407948490153e+01,-7.995968415016331221e+01,-7.995968427400454459e+01,-7.995968446056359369e+01,-7.995968472423484741e+01,-7.995968508536293484e+01,-7.995968557181298308e+01,-7.995968622112117430e+01,-7.995968708339191267e+01,-7.995968822516479690e+01,-7.995968973455029527e+01,-7.995969172803020797e+01,-7.995969435944785175e+01,-7.995969783188191116e+01,-7.995970241332037176e+01,-7.995970845734416343e+01,-7.995971643041683308e+01,-7.995972694788682134e+01,-7.995974082148043749e+01,-7.995975912195137880e+01,-7.995978326172206607e+01,-7.995981510389475488e+01,-7.995985710604630015e+01,-7.995991250990469723e+01,-7.995998559154730856e+01,-7.996008199143221873e+01,-7.996020914973745164e+01,-7.996037688061255722e+01,-7.996059812967328639e+01,-7.996088997322092951e+01,-7.996127493633608196e+01,-7.996178273161596906e+01,-7.996245255274953934e+01,-7.996333609971979683e+01,-7.996450156848486301e+01,-7.999947337542116088e+01,-7.999999999967398878e+01
8.000000000000003636e-03,-7.999999999967398878e+01,-7.999947337543105164e+01,-7.996450157683830184e+01,-7.996333610910684797e+01,-7.996245256269138224e+01,-7.996178274180613244e+01,-7.996127494665206825e+01,-7.996088998361759081e+01,-7.996059814012942013e+01,-7.996037689111470570e+01,-7.996020916027572412e+01,-7.996008200199898397e+01,-7.995998560213664064e+01,-7.995991252051199183e+01,-7.995985711666793350e+01,-7.995981511452788482e+01,-7.995978327236447569e+01,-7.995975913260130596e+01,-7.995974083213646111e+01,-7.995972695854783296e+01,-7.995971644108192322e+01,-7.995970846801260734e+01,-7.995970242399160099e+01,-7.995969784255542834e+01,-7.995969437012327319e+01,-7.995969173870720681e+01,-7.995968974522861572e+01,-7.995968823584419738e+01,-7.995968709407222264e+01,-7.995968623180222323e+01,-7.995968558249464309e+01,-7.995968509604510643e+01,-7.995968473491740269e+01,-7.995968447124644740e+01,-7.995968428468763989e+01,-7.995968416084657804e+01,-7.995968409016823841e+01,-7.995968406719951815e+01,-7.995968409016823841e+01,-7.995968416084656383e+01,-7.995968428468763989e+01,-7.995968447124644740e+01,-7.995968473491740269e+01,-7.995968509604509222e+01,-7.995968558249464309e+01,-7.995968623180222323e+01,-7.995968709407220842e+01,-7.995968823584419738e+01,-7.995968974522861572e+01,-7.995969173870720681e+01,-7.995969437012327319e+01,-7.995969784255542834e+01,-7.995970242399160099e+01,-7.995970846801260734e+01,-7.995971644108192322e+01,-7.995972695854783296e+01,-7.995974083213646111e+01,-7.995975913260130596e+01,-7.995978327236447569e+01,-7.995981511452788482e+01,-7.995985711666793350e+01,-7.995991252051199183e+01,-7.995998560213664064e+01,-7.996008200199898397e+01,-7.996020916027572412e+01,-7.996037689111470570e+01,-7.996059814012942013e+01,-7.996088998361759081e+01,-7.996127494665206825e+01,-7.996178274180611822e+01,-7.996245256269138224e+01,-7.996333610910684797e+01,-7.996450157683830184e+01,-7.999947337543105164e+01,-7.999999999967398878e+01
9.000000000000004524e-03,-7.999999999967398878e+01,-7.999947337544095660e+01,-7.996450158468030622e+01,-7.996333611788041651e+01,-7.996245257199903733e+01,-7.996178275136517755e+01,-7.996127495633787419e+01,-7.996088999338209646e+01,-7.996059814995082604e+01,-7.996037690097983841e+01,-7.996020917017510499e+01,-7.996008201192539389e+01,-7.995998561208445210e+01,-7.995991253047682790e+01,-7.995985712664636935e+01,-7.995981512451723461e+01,-7.995978328236262200e+01,-7.995975914260657191e+01,-7.995974084214751088e+01,-7.995972696856360074e+01,-7.995971645110157056e+01,-7.995970847803543791e+01,-7.995970243401706057e+01,-7.995969785258306217e+01,-7.995969438015271180e+01,-7.995969174873813756e+01,-7.995968975526078282e+01,-7.995968824587740187e+01,-7.995968710410627978e+01,-7.995968624183699092e+01,-7.995968559252997920e+01,-7.995968510608091151e+01,-7.995968474495357725e+01,-7.995968448128292039e+01,-7.995968429472432604e+01,-7.995968417088342051e+01,-7.995968410020518036e+01,-7.995968407723647431e+01,-7.995968410020518036e+01,-7.995968417088340630e+01,-7.995968429472432604e+01,-7.995968448128292039e+01,-7.995968474495357725e+01,-7.995968510608089730e+01,-7.995968559252997920e+01,-7.995968624183697671e+01,-7.995968710410626556e+01,-7.995968824587740187e+01,-7.995968975526078282e+01,-7.995969174873813756e+01,-7.995969438015269759e+01,-7.995969785258306217e+01,-7.995970243401706057e+01,-7.995970847803543791e+01,-7.995971645110157056e+01,-7.995972696856360074e+01,-7.995974084214751088e+01,-7.995975914260657191e+01,-7.995978328236262200e+01,-7.995981512451723461e+01,-7.995985712664636935e+01,-7.995991253047682790e+01,-7.995998561208445210e+01,-7.996008201192539389e+01,-7.996020917017510499e+01,-7.996037690097983841e+01,-7.996059814995082604e+01,-7.996088999338209646e+01,-7.996127495633787419e+01,-7.996178275136517755e+01,-7.996245257199903733e+01,-7.996333611788041651e+01,-7.996450158468030622e+01,-7.999947337544095660e+01,-7.999999999967398878e+01
