node,position_mm,crossing_time_ms,active_node
2,32.662000000000745,1.9319288895335693,True
2,32.662000000000745,5.197060698562106,True
3,33.78430000000073,1.918659518407031,True
3,33.78430000000073,5.183618271532424,True
4,34.906600000000736,1.8997563101327883,True
4,34.906600000000736,5.163661721758743,True
5,36.02890000000074,1.8793810695585913,True
5,36.02890000000074,5.141696773812931,True
6,37.15120000000074,1.8587195136882821,True
6,37.15120000000074,5.1193048520036095,True
7,38.273500000000745,1.838024105290057,True
7,38.273500000000745,5.096814674558651,True
8,39.39580000000074,1.817326880968727,True
8,39.39580000000074,5.074300756674595,True
9,40.518100000000736,1.7965940631729678,True
9,40.518100000000736,5.051769129217178,True
10,41.64040000000073,1.7757988889841185,True
10,41.64040000000073,5.029230428034361,True
11,42.76270000000073,1.7551026567389691,True
11,42.76270000000073,5.0066859266037715,True
12,43.88500000000073,1.734485540872578,True
12,43.88500000000073,4.984132509542372,True
13,45.007300000000726,1.7139156515989358,True
13,45.007300000000726,4.961583632989107,True
14,46.12960000000072,1.6933923541540565,True
14,46.12960000000072,4.939019614795305,True
15,47.251900000000724,1.6728889548826082,True
15,47.251900000000724,4.916469804049845,True
16,48.37420000000073,1.6524115077431039,True
16,48.37420000000073,4.893903207166622,True
17,49.49650000000074,1.6319405608732909,True
17,49.49650000000074,4.871345722990273,True
18,50.618800000000746,1.611487266780228,True
18,50.618800000000746,4.848777982406428,True
19,51.74110000000075,1.5910336493881834,True
19,51.74110000000075,4.8262097387241765,True
20,52.86340000000075,1.5705943191135094,True
20,52.86340000000075,4.80364015983792,True
21,53.98570000000076,1.5501560962739895,True
21,53.98570000000076,4.781058458252609,True
22,55.10800000000077,1.5297287880392385,True
22,55.10800000000077,4.7584856402483755,True
23,56.230300000000774,1.5093135561306403,True
23,56.230300000000774,4.735894335609959,True
24,57.35260000000078,1.4889125117638742,True
24,57.35260000000078,4.7133065474988065,True
25,58.47490000000079,1.4685485898535209,True
25,58.47490000000079,4.690704035474,True
26,59.5972000000008,1.4483141283385013,True
26,59.5972000000008,4.6680840698052,True
27,60.7195000000008,1.4285369267545542,True
27,60.7195000000008,4.645458888560654,True
28,61.8418000000008,1.408740336485481,True
28,61.8418000000008,4.6228103027878955,True
29,62.96410000000081,1.3892401392992846,True
29,62.96410000000081,4.600145305496221,True
30,64.0864000000008,1.3697243290017622,True
30,64.0864000000008,4.577464087102646,True
31,65.20870000000079,1.3507244106002,True
31,65.20870000000079,4.554742688445448,True
32,66.33100000000078,1.332080735916742,True
32,66.33100000000078,4.531983217260595,True
33,67.45330000000077,1.3136533690654444,True
33,67.45330000000077,4.5091991506952995,True
34,68.57560000000075,1.2953589072080105,True
34,68.57560000000075,4.486365772968524,True
35,69.69790000000074,1.277199192468902,True
35,69.69790000000074,4.463464277629536,True
36,70.82020000000074,1.2602075900358005,True
36,70.82020000000074,4.4404635959109955,True
37,71.94250000000072,1.2432106926398818,True
37,71.94250000000072,4.417366350876519,True
38,73.0648000000007,1.2268556442348555,True
38,73.0648000000007,4.394116129110339,True
39,74.1871000000007,1.2118344656243358,True
39,74.1871000000007,4.370680503128309,True
40,75.3094000000007,1.197833732644074,True
40,75.3094000000007,4.347017467249884,True
41,76.43170000000067,1.1848975987044057,True
41,76.43170000000067,4.323127489460607,True
42,77.55400000000066,1.1731102981703394,True
42,77.55400000000066,4.298960786294958,True
43,78.67630000000065,1.1632030519369867,True
43,78.67630000000065,4.274520203852466,True
44,79.79860000000065,1.1557590246731748,True
44,79.79860000000065,4.2498297175793,True
45,80.92090000000063,1.152652437616266,True
45,80.92090000000063,4.225108916309738,True
46,82.04320000000061,1.1547834447440233,True
46,82.04320000000061,4.2007148502471585,True
47,83.1655000000006,1.1640008390399104,True
47,83.1655000000006,4.176964583885526,True
48,84.28780000000059,1.19028845556315,True
48,84.28780000000059,4.154292670342858,True
49,85.41010000000058,1.2776713920915748,True
49,85.41010000000058,4.133462616302545,True
49,85.41010000000058,6.99641637767094,True
50,86.53240000000056,4.114119103611355,True
50,86.53240000000056,6.974000661711606,True
51,87.65470000000056,4.094541258521636,True
51,87.65470000000056,6.952077356540423,True
52,88.77700000000054,4.0740213684549165,True
52,88.77700000000054,6.930089852726596,True
53,89.89930000000054,4.052419782265648,True
53,89.89930000000054,6.9077933401827085,True
54,91.02160000000052,4.029897485623008,True
54,91.02160000000052,6.885095774107347,True
55,92.14390000000051,4.006842210422473,True
55,92.14390000000051,6.8620267427589035,True
56,93.2662000000005,3.9837548179527555,True
56,93.2662000000005,6.838703343847379,True
57,94.38850000000049,3.9611293219443318,True
57,94.38850000000049,6.815257616583439,True
58,95.51080000000047,1.3572798735270952,True
58,95.51080000000047,3.9392718657943,True
58,95.51080000000047,6.791834833454424,True
59,96.63310000000045,1.2941120318430153,True
59,96.63310000000045,3.9174388184163447,True
59,96.63310000000045,6.768126997090265,True
60,97.75540000000044,1.26822969688362,True
60,97.75540000000044,3.8947251124636413,True
60,97.75540000000044,6.744297772708683,True
61,98.8777000000004,1.2544310506282186,True
61,98.8777000000004,3.871507956462673,True
61,98.8777000000004,6.720484763705981,True
62,100.00000000000038,1.242010137948875,True
62,100.00000000000038,3.8483554256002006,True
62,100.00000000000038,6.696991179436491,True
63,101.12230000000035,1.2264614511054468,True
63,101.12230000000035,3.826020396942835,True
63,101.12230000000035,6.67440650173382,True
64,102.24460000000033,1.2041025243424963,True
64,102.24460000000033,3.806612830404095,True
64,102.24460000000033,6.653944406886769,True
65,103.3669000000003,1.1754396348926082,True
65,103.3669000000003,3.79591694895269,True
65,103.3669000000003,6.638536974129441,True
66,104.48920000000027,1.145178821843362,True
67,105.61150000000025,1.1153114485110442,True
68,106.73380000000022,1.0927525979446453,True
69,107.8561000000002,1.0788193000774087,True
70,108.97840000000016,1.0716436224047232,True
71,110.10070000000015,1.0694494701640538,True
72,111.22300000000011,1.0727704700068008,True
