waveform,tau_ms,polarity,magnitude_v,accepted,first_active_spike_ms,first_detector_spike_ms,detector_spike_count,first_spike_phase,end_initiation_flag,max_vm_mv
exponential,0.03,1,0.0,False,,,0,none,False,-79.96028892286104
exponential,0.03,1,1.0,False,,,0,none,False,-79.95717391713833
exponential,0.03,1,1.8738174228603839,False,,,0,none,False,-79.95074231545775
exponential,0.03,1,3.511191734215131,False,,,0,none,False,-79.93868754369211
exponential,0.03,1,6.579332246575679,False,,,0,none,False,-79.91608809543337
