"Distance [mm]","Voltage [V]"
155.2,50.0547062873671
155.4,50.0547137982254
155.6,50.0547204927059
155.8,50.0547263708087
156,50.0547314325336
156.2,50.0547356778808
156.4,50.0547391068501
156.6,50.0547417194417
156.8,50.0547435392841
157,50.0547473708892
157.2,50.0547507178308
157.4,50.0547535801091
157.6,50.0547559577238
157.8,50.0547557003106
158,50.0547549170267
158.2,50.0547537685193
158.4,50.0547522547884
158.6,50.0547503758341
158.8,50.0547481316561
159,50.0547455222548
159.2,50.0547425476299
159.4,50.0547392077815
159.6,50.0547355027095
159.8,50.0547314324142
160,50.0547269968953
160.2,50.0547221961528
160.4,50.0547170301869
160.6,50.0547115789158
160.8,50.0547060414249
161,50.0547002909492
161.2,50.0546944337277
161.4,50.0546892178999
161.6,50.0546839643578
161.8,50.0546786731013
162,50.0546733441305
162.2,50.0546679774454
162.4,50.054662573046
162.6,50.0546571309323
162.8,50.0546516511043
163,50.054646133562
163.2,50.0546401186646
163.4,50.0546341676434
163.6,50.0546284444627
163.8,50.0546229491226
164,50.0546176110696
164.2,50.0546118322528
164.4,50.0546060649764
164.6,50.0546003092403
164.8,50.0545945650445
165,50.054588832389
165.2,50.0545831112739
165.4,50.054577401699
165.6,50.0545717036645
165.8,50.0545660171703
166,50.0545603422164
166.2,50.0545546788029
166.4,50.0545490269297
166.6,50.0545439477869
166.8,50.0545396051884
167,50.0545351886973
167.2,50.0545306983137
167.4,50.0545261340374
167.6,50.0545214958685
167.8,50.054516783807
168,50.0545119978528
168.2,50.0545071380061
168.4,50.0545022042667
168.6,50.0544971966347
168.8,50.0544921151102
169,50.0544869596929
169.2,50.0544817303831
169.4,50.0544766541013
169.6,50.0544714906092
169.8,50.0544661523179
170,50.054460661578
170.2,50.0544553604624
170.4,50.0544502489712
170.6,50.0544453271042
170.8,50.0544405948616
171,50.0544360522431
171.2,50.0544316992491
171.4,50.0544275358792
171.6,50.0544235621337
171.8,50.0544197780125
172,50.0544161835156
172.2,50.054412778643
172.4,50.0544095633946
172.6,50.0544065377705
172.8,50.0544037017708
173,50.0544010553953
173.2,50.0543985986441
173.4,50.0543963315172
173.6,50.0543942540147
173.8,50.0543923661364
174,50.0543904992436
174.2,50.0543883337644
174.4,50.0543861832548
174.6,50.0543840477148
174.8,50.0543819271444
175,50.0543798215436
175.2,50.0543777309125
175.4,50.0543756552509
175.6,50.054373594559
175.8,50.0543715488366
176,50.0543695180839
176.2,50.0543675023008
176.4,50.0543655014873
176.6,50.0543635156435
176.8,50.0543615447692
177,50.0543594479084
177.2,50.0543573238054
177.4,50.0543552329509
177.6,50.0543531753449
177.8,50.0543511509873
178,50.0543491598781
178.2,50.0543472020175
178.4,50.0543452774053
178.6,50.0543433860415
178.8,50.0543415279262
179,50.0543397030594
179.2,50.0543379114411
179.4,50.0543361530712
179.6,50.0543344279497
179.8,50.0543327360768
180,50.0543310774523
180.2,50.0543294520763
180.4,50.0543278599487
180.6,50.0543263010696
180.8,50.0543247754389
181,50.0543232830568
181.2,50.054321823923
181.4,50.0543203980378
181.6,50.054319005401
181.8,50.0543176460127
182,50.0543164954156
182.2,50.0543154851577
182.4,50.0543144905459
182.6,50.05431351158
182.8,50.0543125482602
183,50.0543116005863
183.2,50.0543106685584
183.4,50.0543097521766
183.6,50.0543088514407
183.8,50.0543079663508
184,50.054307096907
184.2,50.0543062431091
184.4,50.0543054049572
184.6,50.0543045824513
184.8,50.0543037755914
185,50.0543029843775
185.2,50.0543022088096
185.4,50.0543014488877
185.6,50.0543007046118
185.8,50.0542999759819
186,50.054299262998
186.2,50.0542985656601
186.4,50.0542978839682
186.6,50.0542972179223
186.8,50.0542965675223
187,50.0542959327684
187.2,50.0542953136605
187.4,50.0542947101986
187.6,50.0542941223826
187.8,50.0542935502127
188,50.0542929936888
188.2,50.0542924528108
188.4,50.0542919275789
188.6,50.0542914179929
188.8,50.054290924053
189,50.054290445759
189.2,50.0542899831111
189.4,50.0542895361091
189.6,50.0542891047531
189.8,50.0542886890432
190,50.0542882889792
190.2,50.0542879045612
190.4,50.0542875357892
190.6,50.0542871826633
190.8,50.0542868451833
191,50.0542865233493
191.2,50.0542862171613
191.4,50.0542859266193
191.6,50.0542856517233
191.8,50.0542853924733
192,50.0542851067597
192.2,50.0542847138565
192.4,50.0542843179148
192.6,50.0542839189344
192.8,50.0542835169155
193,50.0542831118579
193.2,50.0542827037619
193.4,50.0542822926272
193.6,50.054281878454
193.8,50.0542814612421
194,50.0542810409917
194.2,50.0542807710989
194.4,50.0542805364824
194.6,50.0542803139144
194.8,50.0542801033951
195,50.0542799049244
195.2,50.0542797185022
195.4,50.0542795441287
195.6,50.0542793818038
195.8,50.0542792315275
196,50.0542790932998
196.2,50.0542789671207
196.4,50.0542788529902
196.6,50.0542787509083
196.8,50.0542786618224
197,50.0542785806784
197.2,50.0542785071158
197.4,50.0542784411346
197.6,50.0542783827347
197.8,50.0542783319162
198,50.054278288679
198.2,50.0542782530232
198.4,50.0542782249487
198.6,50.0542782044555
198.8,50.0542781915437
199,50.0542781862133
199.2,50.0542781884642
199.4,50.0542781982964
199.6,50.05427821571
199.8,50.054278240705
200,50.0542782732813
